,,,,,Playing Time,,,Performance,,,,,,,Per 90 Minutes,,,,,Expected,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Thiago Silva,br BRA,DF,38-101,18,16,"1,550",17.2,0,2,0,0,0,2,0,0,0.12,0.12,0,0.12,1.1,1.1,0.4,1.5,0.07,0.02,0.09,0.07,0.09,Matches
Mason Mount,eng ENG,MF,23-356,22,19,"1,534",17,3,4,3,0,0,4,0,0.18,0.23,0.41,0.18,0.41,2.3,2.3,2.6,5,0.14,0.16,0.3,0.14,0.3,Matches
Raheem Sterling,eng ENG,"FW,DF",28-024,20,18,"1,520",16.9,5,3,5,0,0,4,0,0.3,0.18,0.47,0.3,0.47,3.7,3.7,3.3,7.1,0.22,0.2,0.42,0.22,0.42,Matches
Jorginho,it ITA,MF,31-012,20,16,"1,411",15.7,3,0,0,3,3,3,0,0.19,0,0.19,0,0,2.6,0.2,0.6,0.8,0.16,0.04,0.2,0.01,0.05,Matches
Kai Havertz,de GER,"FW,MF",23-204,21,16,"1,326",14.7,5,1,5,0,0,3,0,0.34,0.07,0.41,0.34,0.41,4.5,4.5,1.7,6.2,0.31,0.11,0.42,0.31,0.42,Matches
Kalidou Koulibaly,sn SEN,DF,31-195,15,14,"1,256",14,1,0,1,0,0,7,1,0.07,0,0.07,0.07,0.07,0.6,0.6,0.3,0.9,0.04,0.03,0.07,0.04,0.07,Matches
Ruben Loftus-Cheek,eng ENG,MF,26-343,20,14,"1,231",13.7,0,1,0,0,0,1,0,0,0.07,0.07,0,0.07,0.9,0.9,1.2,2.1,0.07,0.09,0.16,0.07,0.16,Matches
Marc Cucurella,es ESP,DF,24-163,19,15,"1,229",13.7,0,2,0,0,0,2,0,0,0.15,0.15,0,0.15,0.3,0.3,0.5,0.9,0.03,0.04,0.07,0.03,0.07,Matches
Trevoh Chalobah,eng ENG,DF,23-180,14,12,"1,114",12.4,0,0,0,0,0,2,0,0,0,0,0,0,0.8,0.8,0.3,1,0.07,0.02,0.09,0.07,0.09,Matches
Mateo Kovačić,hr CRO,MF,28-240,17,11,"1,084",12,1,1,1,0,0,3,0,0.08,0.08,0.17,0.08,0.17,0.5,0.5,1.1,1.6,0.05,0.1,0.15,0.05,0.15,Matches
Kepa Arrizabalaga,es ESP,GK,28-090,12,12,"1,035",11.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
César Azpilicueta,es ESP,DF,33-126,18,10,992,11,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,1,1.1,0.01,0.09,0.1,0.01,0.1,Matches
